"id","created_at","name","has_test","alternate_url"
"36359628","2020-04-17T19:25:48+0300","Senior Data Scientist",false,"https://hh.ru/vacancy/36359628"
"36693585","2020-04-17T16:53:10+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/36693585"
"36552682","2020-04-17T16:33:53+0300","Data scientist/Портфельный аналитик",false,"https://hh.ru/vacancy/36552682"
"36324804","2020-04-19T09:26:02+0300","Аналитик Data Scientist",false,"https://hh.ru/vacancy/36324804"
"36596125","2020-04-17T13:30:59+0300","Data Scientist (NLP) / Аналитик",false,"https://hh.ru/vacancy/36596125"
"36476804","2020-04-17T13:27:50+0300","Data Scientist",false,"https://hh.ru/vacancy/36476804"
"36016354","2020-04-17T13:12:04+0300","Аналитик - эконометрист / Data scientist (Junior/Middle)",false,"https://hh.ru/vacancy/36016354"
"36675003","2020-04-19T12:54:30+0300","Senior Analyst/Data Scientist",false,"https://hh.ru/vacancy/36675003"
"33481272","2020-04-19T16:12:16+0300","Senior Data scientist (NLP/NLU)",false,"https://hh.ru/vacancy/33481272"
"36619692","2020-04-19T12:13:50+0300","Middle Data Scientist",false,"https://hh.ru/vacancy/36619692"
"36671606","2020-04-19T11:30:22+0300","Аналитик-математик (Data scientist)",false,"https://hh.ru/vacancy/36671606"
"36670887","2020-04-19T10:58:52+0300","Специалист по углубленной аналитике данных (Data scientist)",false,"https://hh.ru/vacancy/36670887"
"36697301","2020-04-19T15:56:28+0300","Data Scientist (family office)",false,"https://hh.ru/vacancy/36697301"
"36662736","2020-04-18T15:44:59+0300","Начальник отдела аналитики данных (Data scientist)",false,"https://hh.ru/vacancy/36662736"
"35895583","2020-04-18T12:06:33+0300","Специалист / data scientist (big data, прогностическая аналитика, data mining)",false,"https://hh.ru/vacancy/35895583"
"36663969","2020-04-18T17:18:43+0300","Специалист Computer Vision (Data Scientist)",false,"https://hh.ru/vacancy/36663969"
"33608231","2020-04-19T14:13:12+0300","Специалист по машинному обучению/Data Scientist (NLP)",false,"https://hh.ru/vacancy/33608231"
"34076417","2020-04-19T14:13:13+0300","Специалист по машинному обучению / Data Scientist (FinTech)",false,"https://hh.ru/vacancy/34076417"
"36023475","2020-04-17T17:11:30+0300","Data Scientist",false,"https://hh.ru/vacancy/36023475"
"36626949","2020-04-17T14:18:39+0300","Data scientist (middle)",false,"https://hh.ru/vacancy/36626949"
